Befattning,Arbetsplats,Antal hela år med arbete i klinisk verksamhet,Specialist eller ST-fysiker,Översjukhusfysiker enl. nationell kompetensstege,Högre examen ,Grundlön okt 2024,Fast tillägg per månad,Förmåner per månad,Rörlig lön per månad,Jour och beredskap per månad,Månadslön totalt
Annan befattning,Annan arbetsplats,4,Nej,Nej,,65000,,,,,65000
Annan befattning,Annan arbetsplats,19,Specialist,Nej,Doktorsutbildning/examen,73124,,,,,73124
Annan befattning,Annan arbetsplats,1,Nej,Nej,,45000,,,,,45000
Annan befattning,Annan arbetsplats,11,Nej,Nej,,83000,,6000.0,,,89000
Annan befattning,Annan arbetsplats,6,Specialist,Nej,,57869,,,,,57869
Annan befattning,Annan arbetsplats,20,Nej,Nej,,55700,,,,,55700
Annan befattning,Annan arbetsplats,35,Specialist,Nej,,66800,,,,,66800
Annan befattning,Annan arbetsplats,8,Nej,Nej,,58200,0.0,,20000.0,,78200
Annan befattning,Annan arbetsplats,0,Nej,Nej,,83500,,,,,83500
Annan befattning,Annan arbetsplats,0,Nej,Nej,Doktorsutbildning/examen,58700,,,,,58700
Annan befattning,Universitet,18,Nej,Nej,,61100,,,,,61100
Annan befattning,Universitetssjukhus,4,Nej,Nej,,59800,,,,,59800
Annan befattning,Annan arbetsplats,4,ST-fysiker,Nej,Doktorsutbildning/examen,62000,0.0,0.0,0.0,0.0,62000
Annan befattning,Universitet,0,Nej,Nej,Doktorsutbildning/examen,47900,,,,,47900
Annan befattning,Annan arbetsplats,0,Nej,Nej,,83500,,,,,83500
Annan befattning,Annan arbetsplats,0,Nej,Nej,,83500,,,,,83500
Chef,Övriga sjukhus,17,ST-fysiker,Nej,,59030,0.0,0.0,0.0,0.0,59030
Chef,Övriga sjukhus,26,Specialist,Ja,Doktorsutbildning/examen,73000,,,,,73000
Chef,Universitetssjukhus,18,Specialist,Nej,Doktorsutbildning/examen,76100,,,,,76100
Chef,Universitetssjukhus,18,Specialist,Nej,,75900,0.0,,,,75900
Chef,Övriga sjukhus,27,Specialist,Nej,,77600,,,,,77600
Chef,Universitetssjukhus,30,Specialist,Nej,Doktorsutbildning/examen,72900,,,,,72900
Chef,Annan arbetsplats,3,Nej,Nej,Doktorsutbildning/examen,70018,,,6900.0,,76918
Chef,Övriga sjukhus,10,Specialist,Nej,Licentiatutbildning/examen,88500,0.0,0.0,0.0,0.0,88500
Doktorand med tjänst,Universitetssjukhus,0,Nej,Nej,,30800,0.0,0.0,0.0,0.0,30800
Doktorand med tjänst,Universitet,0,Nej,Nej,,32400,,,,,32400
Doktorand med tjänst,Universitet,0,Nej,Nej,,31900,0.0,0.0,0.0,0.0,31900
Doktorand med tjänst,,12,Specialist,Nej,,50000,0.0,0.0,0.0,0.0,50000
Doktorand med tjänst,Universitet,0,Nej,Nej,,39500,0.0,0.0,0.0,0.0,39500
Doktorand med tjänst,Universitet,8,ST-fysiker,Nej,,34000,,,,,34000
Doktorand med tjänst,Universitetssjukhus,7,Nej,Nej,,40900,,,,528.0,41428
Sjukhusfysiker,Övriga sjukhus,0,Nej,Nej,,37500,,250.0,,,37750
Sjukhusfysiker,Övriga sjukhus,0,Nej,Nej,,38000,0.0,0.0,0.0,0.0,38000
Sjukhusfysiker,Annan arbetsplats,2,ST-fysiker,Nej,,39500,0.0,0.0,0.0,0.0,39500
Sjukhusfysiker,Universitetssjukhus,5,Nej,Nej,,42000,,,,,42000
Sjukhusfysiker,Universitetssjukhus,11,Nej,Nej,Doktorsutbildning/examen,60000,,,,,60000
Sjukhusfysiker,Övriga sjukhus,1,Nej,Nej,Doktorsutbildning/examen,41320,0.0,0.0,0.0,0.0,41320
Sjukhusfysiker,Universitetssjukhus,4,Nej,Nej,,39700,0.0,0.0,0.0,0.0,39700
Sjukhusfysiker,Övriga sjukhus,1,Nej,Nej,,38110,,,,,38110
Sjukhusfysiker,Universitetssjukhus,5,ST-fysiker,Nej,,42700,0.0,0.0,0.0,0.0,42700
Sjukhusfysiker,Universitetssjukhus,1,Nej,Nej,Doktorsutbildning/examen,44900,,,,,44900
Sjukhusfysiker,Övriga sjukhus,2,ST-fysiker,Nej,,39020,,,,,39020
Sjukhusfysiker,Övriga sjukhus,2,ST-fysiker,Nej,,38800,,,,,38800
Sjukhusfysiker,Universitetssjukhus,2,Nej,Nej,,40600,0.0,0.0,0.0,0.0,40600
Sjukhusfysiker,Universitetssjukhus,5,ST-fysiker,Nej,Doktorsutbildning/examen,54200,0.0,0.0,0.0,6000.0,60200
Sjukhusfysiker,Universitetssjukhus,3,ST-fysiker,Nej,,38500,,,,,38500
Sjukhusfysiker,Övriga sjukhus,3,ST-fysiker,Nej,Doktorsutbildning/examen,43700,,,,,43700
Sjukhusfysiker,Universitetssjukhus,1,Nej,Nej,,40400,0.0,0.0,0.0,0.0,40400
Sjukhusfysiker,Universitetssjukhus,16,Nej,Nej,,53400,,,,,53400
Sjukhusfysiker,Universitetssjukhus,1,Nej,Nej,,38200,,,,,38200
Sjukhusfysiker,Universitetssjukhus,8,Specialist,Nej,,48500,,,,,48500
Sjukhusfysiker,Övriga sjukhus,4,ST-fysiker,Nej,,40900,,,,,40900
Sjukhusfysiker,Universitetssjukhus,3,Nej,Nej,,37100,0.0,0.0,0.0,0.0,37100
Sjukhusfysiker,Universitetssjukhus,4,ST-fysiker,Nej,,43100,0.0,0.0,0.0,0.0,43100
Sjukhusfysiker,Universitetssjukhus,1,Nej,Nej,,68500,0.0,0.0,0.0,0.0,68500
Sjukhusfysiker,Övriga sjukhus,3,ST-fysiker,Nej,,42800,,,,,42800
Sjukhusfysiker,Universitetssjukhus,4,ST-fysiker,Nej,,43000,,,,,43000
Sjukhusfysiker,Övriga sjukhus,4,ST-fysiker,Nej,,43000,,,,,43000
Sjukhusfysiker,Universitetssjukhus,2,ST-fysiker,Nej,,38150,,,,,38150
Sjukhusfysiker,Övriga sjukhus,4,ST-fysiker,Nej,,39650,500.0,0.0,0.0,,40150
Sjukhusfysiker,Universitetssjukhus,6,ST-fysiker,Nej,,41500,3000.0,,,,44500
Sjukhusfysiker,Universitetssjukhus,4,ST-fysiker,Nej,,42600,,,,,42600
Sjukhusfysiker,Övriga sjukhus,5,ST-fysiker,Nej,,41700,,,,,41700
Sjukhusfysiker,Övriga sjukhus,6,ST-fysiker,Nej,,40700,,,,,40700
Sjukhusfysiker,Universitetssjukhus,6,Nej,Nej,,40600,,,,,40600
Sjukhusfysiker,Övriga sjukhus,6,Specialist,Nej,,48050,,,,,48050
Sjukhusfysiker,Universitetssjukhus,1,Nej,Nej,Doktorsutbildning/examen,41200,,,,,41200
Sjukhusfysiker,Universitetssjukhus,3,ST-fysiker,Nej,,41750,,,,,41750
Sjukhusfysiker,Universitetssjukhus,5,ST-fysiker,Nej,Doktorsutbildning/examen,58000,,,,,58000
Sjukhusfysiker,Övriga sjukhus,6,ST-fysiker,Nej,,44300,0.0,0.0,0.0,0.0,44300
Sjukhusfysiker,Universitetssjukhus,7,ST-fysiker,Nej,Doktorsutbildning/examen,46400,0.0,0.0,0.0,0.0,46400
Sjukhusfysiker,Övriga sjukhus,5,ST-fysiker,Nej,,40510,,,,,40510
Sjukhusfysiker,Universitetssjukhus,6,ST-fysiker,Nej,,43200,0.0,0.0,0.0,0.0,43200
Sjukhusfysiker,Universitetssjukhus,3,Nej,Nej,Doktorsutbildning/examen,42150,0.0,0.0,0.0,0.0,42150
Sjukhusfysiker,Universitetssjukhus,7,Nej,Nej,,40150,,,,,40150
Sjukhusfysiker,Universitetssjukhus,7,ST-fysiker,Nej,,41100,,,,,41100
Sjukhusfysiker,Universitetssjukhus,2,ST-fysiker,Nej,,38100,,,,,38100
Sjukhusfysiker,Övriga sjukhus,6,ST-fysiker,Nej,,40370,0.0,0.0,0.0,0.0,40370
Sjukhusfysiker,Övriga sjukhus,16,ST-fysiker,Nej,Licentiatutbildning/examen,48900,0.0,292.0,0.0,0.0,49192
Sjukhusfysiker,Övriga sjukhus,8,ST-fysiker,Nej,,48400,,,,,48400
Sjukhusfysiker,Övriga sjukhus,7,Specialist,Nej,Doktorsutbildning/examen,51000,0.0,0.0,0.0,0.0,51000
Sjukhusfysiker,Universitetssjukhus,8,ST-fysiker,Nej,,39700,,,,,39700
Sjukhusfysiker,Universitetssjukhus,5,Nej,Nej,,41150,,,,,41150
